Country,Population,Pollution,PollutionAccess,DeathsPollution,DeathsShare,PM25,OZONE,SmokeDaily,SmokeShare,Drinking,UnsafeWater,Calories,Fat,Sanitation,Overweight,Fertility,HealthExpenditure,HealthShare,Corruption,CorruptionPerception,Trust,TrustShare,TrustMedics,Literacy,HumanRights,PoliticalRegime,GiniIndex,EconomicFreedom,TotalDeaths,TotalCases,PopulationDensity,MedianAge,Aged65,Aged70,GDPpcp,Poverty,Cardiovascular,Diabetes,SmokersFemale,SmokersMale,HospBeds,LifeExpectancy,ReproductionRate,TotalVaccinations,FullVaccinations
AFG,38928341,62.85485658,32.44,183.9413871,11.5,26,61,11.9,NaN,3.7,2.32,2090,30.62,7.196390731,19.7,4.802,166.5167266,2.93283372,4.1,16,0.3159644,45.19529051,73.44479,38.168041,-2.311016703,-1,NaN,NaN,64.529,1458.552,54.422,18.6,2.581,1.337,1803.987,NaN,597.029,9.59,NaN,NaN,0.5,64.83,1.45,0.14,NaN
AGO,32866268,36.24047917,48.05,95.2199092,5.82,NaN,NaN,8.6999998,NaN,35.6,7.94,2473,48.74,54.45297514,23.9,5.766,239.0102329,2.1249122,NaN,19,NaN,NaN,NaN,71.164162,-0.388862744,-2,42.7,5.166512658,16.643,696.307,23.89,16.8,2.405,1.362,5819.495,NaN,276.045,3.94,NaN,NaN,NaN,61.15,1.19,0.4,NaN
AIA,15002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.88,NaN,35.65,NaN
ALB,2877800,14.63400837,77.42,40.48112425,7.53,NaN,NaN,20.5,28.7,53.8,0.02,3193,117.64,0.058739314,58.7,1.714,614.5359461,2.93637328,4.2,36,NaN,46.44411407,67.53741293,97.553902,0.851179641,9,29,7.538571065,793.314,44108.694,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,2.89,78.57,0.79,0.21,0.02
AND,77265,10.87947242,100,15.56947846,4.17,NaN,NaN,26.6,33.5,68.3,0,NaN,NaN,0.011524916,68.1,NaN,4272.523818,6.341446,NaN,NaN,NaN,NaN,NaN,100,4.221864964,NaN,NaN,NaN,1514.269,159554.779,163.755,NaN,NaN,NaN,NaN,NaN,109.135,7.97,29,37.8,NaN,83.73,1.2,9.19,1.64
ARE,9890400,105.1237359,98.51,77.84550799,7.85,23,63,15.8,28.9,13,0.1,3280,89.43,0.098481483,65.9,1.765,2405.367719,2.63615158,NaN,70,0.50710827,NaN,77.08563657,92.986366,0.206362335,-8,NaN,7.485404568,153.28,47939.012,112.442,34,1.144,0.526,67293.483,NaN,317.84,17.26,1.2,37.4,1.2,77.97,1.01,35.19,22.12
ARG,45195777,14.14816717,98.4,31.05788284,5.12,5.4,43,19.299999,21.8,58.8,0.08,3229,117.16,0.137528264,63.4,2.308,1137.243423,2.6526738,4.5,40,-0.20673333,31.92407072,89.40487393,98.089973,0.784109255,9,42.7,4.839536444,1253.082,53722.475,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,5,76.67,1.22,8.21,1.53
ARM,2963234,26.97289332,96.9,64.81278003,9.29,NaN,NaN,26.700001,24.1,64,0.01,2928,96.93,0.167622475,55.7,1.622,362.1252788,1.92567567,4.4,35,NaN,79.74244434,74.02420439,99.768417,0.106262163,5,32.4,7.565793873,1224.001,66776.029,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,4.2,75.09,1.07,NaN,NaN
ATG,97928,15.68594257,98.75,32.35337088,5.57,NaN,NaN,3.4000001,NaN,66.6,0.18,2417,89.11,0.391845117,48.4,2.063,1208.075846,3.78461068,NaN,NaN,NaN,NaN,NaN,98.949997,1.335031449,NaN,NaN,NaN,296.136,11978.188,231.845,32.1,6.933,4.631,21490.943,NaN,191.511,13.17,NaN,NaN,3.8,77.02,0.85,26.98,NaN
AUS,25499881,6.126806421,100,10.79595183,2.86,4,38,16.299999,14.7,84,0.02,3276,153.92,0.013141523,67.2,1.856,4357.260783,6.31659265,3.6,77,0.29897258,46.97923889,95.97211475,99,1.753645266,10,34.7,7.977567819,35.647,1152.123,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,3.84,83.44,0.9,0.62,NaN
AUT,9006400,14.96518831,100,17.58634935,4.29,8,59,29.299999,29.6,77.4,0,3768,166.72,0.031677529,58.1,1.48,5038.881645,8.72502572,NaN,76,0.15462811,59.51411089,93.88728003,98,2.275798607,10,30.5,7.564971368,1056.693,62500.777,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,7.37,81.54,0.98,14.2,5.49
AZE,10139175,32.97762008,95.54,80.19455282,8.4,8,54,22.4,20.8,44,0.12,3118,58.92,1.075203164,53.5,2.092,1047.300598,1.23096748,3.6,25,NaN,88.28027359,82.42274925,99.80526,-0.397757013,-7,31.8,6.477059287,369.162,27010.975,119.309,32.4,6.018,3.871,15847.419,NaN,559.812,7.11,0.3,42.5,4.7,73,1.33,6.03,3.66
BDI,11890781,46.28293462,0.85,142.7742077,7.96,NaN,NaN,13.9,NaN,42.1,5.6,NaN,NaN,54.34633833,19.3,5.781,58.01861945,3.97372756,4.1,17,NaN,60.46061558,66.13060089,85.496094,-1.595026447,-1,39.2,5.932866637,0.505,249.773,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,NaN,NaN,0.8,61.58,1.2,NaN,NaN
BEL,11589616,16.04343237,100,19.12751273,4.57,8.6,51,26.1,28.2,82.3,0.02,3733,155.93,0.046292122,64.1,1.786,4391.595144,8.24998947,3.9,75,NaN,53.4546556,96.73120297,99,2.729590384,8,28.1,7.324201584,2005.847,78058.928,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,5.64,81.63,1.01,13.16,4.95
BEN,12123198,95.96032285,6.44,113.1595756,7.65,NaN,NaN,7.6999998,6.4,39.4,6.51,2619,58.14,51.04680969,26.3,5.048,85.60836075,2.25119628,NaN,40,NaN,42.41171592,49.76686575,38.44714,0.883672664,7,47.8,5.978389576,7.671,603.224,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,0.5,61.77,0.83,NaN,NaN
BFA,20903278,110.7308018,8.93,133.1826638,8.33,NaN,NaN,10.5,12.5,38,5.71,2720,67.71,51.99957384,20,5.436,82.30537688,2.59397374,NaN,41,NaN,54.6611032,74.75634286,37.7467,0.092185174,6,35.3,6.059183395,7.176,614.497,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,0.4,61.58,0.9,NaN,NaN
BGD,164689383,101.0171569,17.72,108.5254782,13.83,38,58,22.4,23,1.9,2.86,2450,33.95,17.67366629,19,2.133,88.07585743,0.78653251,4.2,26,-0.17336532,85.59957425,89.73409995,61.493832,-1.422503477,1,32.1,6.320027985,56.98,3956.855,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,0.8,72.59,1.5,3.36,NaN
BGR,6948445,25.64668767,88.65,51.39213645,7.14,12,54,32.299999,37,67.4,0.01,2829,95.48,0.012146581,66.3,1.545,1398.878488,4.60763146,4.3,42,NaN,31.87849326,80.79629579,98.38858,0.618488942,9,37.4,7.413846286,1984.041,51358.11,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,7.454,75.05,0.98,5.97,1.51
BHR,1701583,79.69099954,100,62.90044938,12.23,49,61,19,26.4,9.8,0.14,NaN,NaN,0.195757037,64.4,2.056,2272.895905,3.1505003,NaN,36,NaN,NaN,NaN,95.717262,-0.373735987,-10,NaN,7.547998735,320.29,88629.823,1935.907,32.4,2.372,1.387,43290.705,NaN,151.689,16.52,5.8,37.6,2,77.29,1.14,31.73,18.59
BHS,393248,12.79114179,100,32.16057828,4.44,NaN,NaN,10.1,11.5,55,0.11,2670,71.7,0.184899912,65.2,1.778,1818.768493,3.5506727,NaN,65,NaN,NaN,NaN,95.599998,0.844839947,NaN,NaN,7.348118274,480.613,23572.911,39.497,34.3,8.996,5.2,27717.847,NaN,235.954,13.17,3.1,20.4,2.9,73.92,0.9,1.78,NaN
BIH,3280815,39.27178089,63.38,58.07743401,9.11,NaN,NaN,31.200001,38.9,57.2,0.01,3154,82,0.032876775,56.4,1.345,957.3969791,6.81307708,4.4,38,-0.19310626,21.09446821,75.46247621,98.485764,1.163504478,NaN,33.8,6.621755881,2149.466,54104.239,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,3.5,77.4,1.19,NaN,NaN
BLR,9449321,19.79873107,98.18,50.71194995,6.83,NaN,NaN,26.9,26.7,79.2,0,3250,125.22,0.028614974,62.9,1.686,1030.992411,3.74175525,NaN,44,NaN,47.39126444,77.72965338,99.722038,-0.02901722,-7,26.7,6.222585784,243.827,34844.62,46.858,40.3,14.799,9.788,17167.967,NaN,443.129,5.18,10.5,46.1,11,74.79,1.06,0.43,0.28
BLZ,397621,20.18159894,85.43,44.21203868,5.83,9.1,45,8.8999996,NaN,28.6,0.51,2751,80.62,1.317907171,51.8,2.544,488.7354549,3.87965784,NaN,NaN,NaN,NaN,NaN,82.776817,0.940695757,-10,53.3,6.861622623,799.757,31379.127,16.426,25,3.853,2.279,7824.362,NaN,176.957,17.11,NaN,NaN,1.3,74.62,0.41,5.55,NaN
BMU,62273,10.47401764,NaN,17.6436257,4.33,NaN,NaN,NaN,NaN,NaN,0.06,2671,109.6,0.04260541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,1308.82,NaN,NaN,NaN,50669.315,NaN,139.547,13,NaN,NaN,NaN,82.59,NaN,38.2,27.88
BOL,11673029,22.04269225,64,53.87507204,6.4,8,46,24.4,NaN,51.7,0.49,2256,57.33,1.498984291,53.2,2.921,427.4112965,4.56537754,4.3,29,-0.16032963,49.87210383,64.40238814,95.141922,0.993489422,7,45.8,6.23460416,1059.365,23720.493,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,NaN,NaN,1.1,71.51,0.97,1.97,1.1
BRA,212559409,12.65285893,95.59,30.32107718,4.91,10,45,13.8,13.9,57.7,0.22,3263,124.57,1.200414707,56.9,1.74,1318.17208,3.83175989,4.6,35,-0.002689139,14.50147619,72.62909074,92.586807,-1.167172456,8,51.3,5.758552944,1585.19,61632.558,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.92,8.37,2.38
BRB,287371,18.41481258,99.44,35.06816141,6.18,12,34,6,7.8,68.6,0.09,2937,92.75,0.205553848,55.3,1.796,1013.966882,4.74463222,NaN,68,NaN,NaN,NaN,99.699997,1.171229206,NaN,NaN,6.441310507,149.632,12844.024,664.463,39.8,14.952,9.473,16978.068,NaN,170.05,13.57,1.9,14.5,5.8,79.19,0.71,22.18,NaN
BRN,437483,6.429309073,100,20.30087711,2.79,NaN,NaN,11.5,16.9,20.4,0.02,2985,82.6,0.038984465,42.2,1.884,1777.758609,2.48556787,NaN,63,NaN,NaN,NaN,96.656532,1.976181804,NaN,NaN,6.941173001,6.857,489.162,81.347,32.4,4.591,2.382,71809.251,NaN,201.285,12.79,2,30.9,2.7,75.86,0.71,0.08,NaN
BTN,771612,55.79888972,52.5,73.10805519,9.6,NaN,NaN,11,NaN,10.3,2.03,NaN,NaN,12.25704669,25.4,2.086,281.0963427,2.61503965,NaN,68,NaN,NaN,NaN,63.906818,1.795294373,5,38.8,7.036470399,1.296,1161.205,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,NaN,NaN,1.7,71.78,0.54,60.87,NaN
BWA,2351625,23.13720408,64.08,69.80400608,5.77,NaN,NaN,13.5,20,41.5,2.91,2326,64.87,18.67659574,38.4,2.774,870.83699,3.19388446,NaN,61,-0.33846158,55.09423348,64.74549043,88.224411,1.214679585,8,60.5,7.437125791,261.947,17736.671,4.044,25.8,3.941,2.242,15807.374,NaN,237.372,4.81,5.7,34.4,1.8,69.59,1.09,0.55,NaN
CAF,4829764,66.32023289,0.97,199.6509972,7.38,14,52,8.3999996,NaN,21.4,8.02,1879,49.02,115.5583739,23.2,4.94,24.95621963,2.05694298,NaN,26,NaN,NaN,NaN,36.752609,-2.056797688,0,56.2,5.085648,15.115,1100.054,7.479,18.3,3.655,2.251,661.24,NaN,435.727,6.1,NaN,NaN,1,53.28,0.98,NaN,NaN
CAN,37742157,7.525224482,100,10.71661841,2.8,3.9,50,14.5,14.3,77.1,0.02,3494,153.17,0.079081263,67.5,1.586,4640.946497,7.41193189,3.7,81,0.24527504,65.08738358,94.25868259,99,2.791056339,10,34,7.989774329,612.896,27233.579,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,2.5,82.43,1.21,15.97,1.94
CHE,8654618,10.51208667,100,11.70517165,3.58,7.4,60,19.799999,25.7,88.5,0.01,3391,149.45,0.019432072,57.9,1.54,6468.495573,7.69511736,2.7,85,0.088283934,81.46982065,94.91527533,99,2.10741004,10,32.5,8.387414206,1202.017,70514.262,214.243,43.1,18.436,12.644,57410.166,NaN,99.739,5.59,22.6,28.9,4.53,83.78,0.59,11.51,6.96
CHL,19116209,21.9671149,92.28,24.29921298,5.05,9.1,44,28.6,37.8,65.9,0.09,2979,88.38,0.252415194,64.4,1.785,1749.363241,3.85130942,4.3,67,-0.083214097,43.26279147,75.70090359,96.627548,1.127567152,10,47.7,7.780627687,1241.564,54287.961,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,2.11,80.18,1.04,37.2,21.93
CHN,1439323774,56.33014796,59.26,72.67678886,11.89,41,68,24.9,25.6,44.1,0.04,3108,97.58,0.199308384,33.8,1.617,730.5178031,3.09517428,NaN,39,0.55280578,NaN,78.09153256,96.357452,-1.298812854,-7,42.2,6.451520582,3.363,70.811,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,4.34,76.91,1.3,NaN,NaN
CIV,26378275,57.77137282,18.23,118.8365594,7.25,8.7,39,10.3,NaN,23.3,5.06,2799,55.02,34.45343821,28.7,4.976,187.0199205,1.67853849,NaN,35,NaN,35.647216,54.73376348,43.26532,-0.439045513,4,41.7,5.994718394,9.705,1700.414,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,NaN,NaN,NaN,57.78,0.91,0.19,NaN
CMR,26545864,139.7057901,23.04,113.9615145,6.95,22,47,7,NaN,43.2,5.47,2671,53.58,37.84990116,29.7,4.778,121.9234186,0.93863369,4.5,25,-0.53091615,51.24509231,63.27670194,74.98558,-0.931839823,-4,46.5,5.844995065,32.058,2159.922,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,NaN,NaN,1.3,59.29,0.16,NaN,NaN
COD,89561404,56.27516385,4.02,142.6803299,8.33,12,59,8,NaN,27.9,4.81,NaN,NaN,45.95341386,22.1,6.202,32.28043161,1.59835647,4.3,20,NaN,NaN,NaN,77.221672,-2.431054595,5,42.1,5.679637719,8.318,316.844,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,NaN,NaN,NaN,60.68,0.92,NaN,NaN
COG,5518092,55.83271511,24.13,113.0051803,6.44,13,47,8.6999998,26.9,28.7,4.5,2208,47.18,48.24132194,28.1,4.721,322.6333656,4.21192085,NaN,19,NaN,34.56901758,43.4283108,79.311172,-1.285834248,-4,48.9,5.0329102,24.827,1827.443,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,NaN,64.57,0.34,NaN,NaN
COL,50882884,17.11938773,91.79,22.09623922,5.11,6.6,40,11.3,9,48.3,0.22,2804,84.73,0.23809823,58.6,1.874,961.8879703,5.40994315,4.4,36,0.005546534,30.40162995,70.36261044,94.577057,-0.892362842,7,51.1,6.4960464,1268.088,48508.178,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,1.71,77.29,1.29,4.04,0.83
COM,869595,19.14635158,9.34,93.98944769,8.89,NaN,NaN,10.4,14,11.9,4.96,NaN,NaN,36.88599977,24.8,4.42,100.8161178,2.21732035,NaN,27,NaN,25.42073101,51.63248047,78.13739,2.276412694,9,45,NaN,167.894,4298.553,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,2.2,64.32,0.95,NaN,NaN
CPV,555988,66.64177108,71.05,50.81777756,7.66,NaN,NaN,6.5999999,9.1,38.6,0.8,NaN,68.5,3.274660821,32.1,2.374,310.123883,3.55722675,NaN,57,NaN,NaN,NaN,88.465424,1.496484765,10,47.2,6.662962575,311.158,32416.167,135.58,25.7,4.46,3.437,6222.554,NaN,182.219,2.42,2.1,16.5,2.1,72.98,1.18,0.39,NaN
CRI,5094114,18.53054595,93.45,21.21308224,4.43,9.5,39,12.1,11.9,51.4,0.16,2848,108.78,0.089880218,61.5,1.8,1389.336918,6.76760152,NaN,56,-0.14910293,59.62428331,84.78545401,97.647247,1.586318505,10,48.2,7.544079485,588.915,43156.867,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,1.13,80.28,0.85,5.72,4.19
CUB,11326616,16.6241175,79.44,32.46048102,6.15,7.1,44,16.6,35.2,62.2,0.2,3409,72.02,0.450286779,62.2,1.72,2474.616779,10.57366249,NaN,47,NaN,NaN,NaN,99.710716,-0.227479039,-7,NaN,NaN,38.847,7207.802,110.408,43.1,14.738,9.719,NaN,NaN,190.968,8.27,17.1,53.3,5.2,78.8,1.17,NaN,NaN
CYM,65720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.867821,NaN,NaN,NaN,NaN,NaN,NaN,256.496,NaN,NaN,NaN,49903.029,NaN,NaN,13.22,NaN,NaN,NaN,83.92,NaN,46.57,30.67
CYP,875899,17.86639632,100,25.95910461,6.45,NaN,NaN,31.6,36.4,85,0.02,2649,111.52,0.030159605,60.8,1.35,2062.374058,3.33201922,4.2,59,NaN,47.36977797,74.4067518,99.059776,1.523086737,10,35.6,7.708212245,301.405,55756.429,127.657,37.3,13.416,8.563,32415.132,NaN,141.171,9.24,19.6,52.7,3.4,80.98,1.17,13.09,5.35
CZE,10708982,19.17869055,97.13,30.15992328,5.85,11,57,23.6,34.3,89.1,0.05,3256,141.69,0.018139285,66.7,1.522,2146.320883,6.26497638,4.4,59,-0.45068413,46.50968547,90.89351156,99,2.988253679,9,25.9,7.573594724,2537.029,145228.09,137.176,43.3,19.027,11.58,32605.906,NaN,227.485,6.82,30.5,38.3,6.63,79.38,0.74,11.69,5.71
DEU,83783945,13.45779609,100,19.82826478,4.42,8.6,55,22.299999,30.6,80.3,0.01,3499,148.16,0.038286663,62.8,1.45,5182.114049,8.69723732,3.9,80,-0.11882253,53.56518787,93.93580932,99,2.930530899,10,31.4,7.679705306,921.955,34731.022,237.016,46.6,21.453,15.957,45229.245,NaN,156.139,8.31,28.2,33.1,8,81.33,1.03,12.58,5.41
DJI,988002,71.70929766,11.52,80.6963249,6.49,NaN,NaN,21.5,13.1,5.8,3.27,2607,60.16,22.75358312,35.7,2.913,337.9588614,6.75084759,NaN,31,NaN,NaN,NaN,67.900002,-0.223077108,4,44.1,NaN,86.032,9221.641,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,1.4,67.11,1.47,NaN,NaN
DMA,71991,16.87333694,90.6,37.67525842,5.18,NaN,NaN,5.5,NaN,59,0.18,2931,80.14,0.695014401,60.7,NaN,586.9019134,3.76797285,NaN,57,NaN,NaN,NaN,94,1.875982784,NaN,NaN,NaN,NaN,2291.953,98.567,NaN,NaN,NaN,9673.367,NaN,227.376,11.62,NaN,NaN,3.8,75,0.18,22.31,NaN
DNK,5792203,10.32874421,100,19.32488726,4.36,7.3,48,18.700001,19.1,88.6,0.02,3367,131.26,0.037141231,59.2,1.736,4782.059514,9.15873411,2.2,88,NaN,70.04632757,97.15014997,99,3.036424591,10,28.5,7.766156184,420.047,40573.336,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,1,13.63,7.06
DOM,10847904,23.69819597,90.41,36.97274516,5.02,5.6,47,11.1,13.7,55.2,0.5,2614,106.7,1.304716795,59.9,2.451,580.3284081,2.92737565,NaN,30,NaN,54.97629988,84.21856599,92.465424,-0.293057049,8,44.9,7.18506935,309.276,23470.248,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,1.6,74.08,0.85,9.22,0.94
DZA,43851043,37.23095588,92.62,43.68351173,7.87,NaN,NaN,11.2,15.6,9.3,0.11,3296,79.69,0.170167278,60.7,2.839,932.1002838,5.24414553,4.6,35,-0.17737062,38.0593098,64.20654271,79.608398,0.354196847,2,27.6,4.985321051,70.968,2688.169,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,1.9,76.88,1.01,NaN,NaN
ECU,17643060,13.1676851,95.58,27.13524291,4.41,8.3,38,6.4000001,7.1,47.3,0.24,2344,89.31,0.521760592,54.9,2.514,1039.756586,4.50815657,NaN,34,NaN,49.38321131,75.13579245,94.515472,0.643758092,5,46.5,6.058442512,963.778,19140.784,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,1.5,77.01,1.1,1.2,0.51
EGY,102334403,126.0282315,97.62,113.3555118,12.12,34,63,18.4,25.2,6.5,0.63,3522,56.83,2.697114692,61.9,3.311,594.1102516,2.1553845,4.1,35,0.60902089,NaN,90.67788026,75.842621,-1.536419686,-4,31.8,5.712223766,119.735,2017.992,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,1.6,71.99,1.06,NaN,NaN
ERI,3546427,50.51448122,16.32,132.7004743,7.53,NaN,NaN,5.9000001,5.7,43.3,7.38,NaN,NaN,77.74130829,19.2,4.208,51.0405941,1.52746401,NaN,24,NaN,NaN,NaN,73.845253,-1.9641295,-7,NaN,NaN,2.82,948.278,44.304,19.3,3.607,2.171,1510.459,NaN,311.11,6.05,0.2,11.4,0.7,66.32,1.08,NaN,NaN
ESP,46754783,9.960824015,100,14.48129276,4.11,6.1,56,24.700001,29.3,68.3,0.01,3174,149.34,0.00860015,67.2,1.352,2965.818325,6.3999919,4.5,58,0.2410433,32.31604684,97.08922226,98.11451,1.191515174,10,36,7.551851757,1623.599,70964.889,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,2.97,83.56,1.03,13.09,6.21
EST,1326539,5.928305245,92.89,15.65168687,2.96,4.8,47,26.299999,31.3,65.2,0,3253,106.45,0.016195713,60.4,1.617,1668.313467,5.0283959,3.7,73,0.086126119,52.50994431,87.78426688,99.823509,2.713978606,9,34.6,7.837735993,726.703,83435.165,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,4.69,78.74,0.74,17.28,5.26
ETH,114963583,49.73530571,3.51,88.82900506,7.56,26,44,3.7,4.4,15.7,8.9,2131,26.81,59.24039869,18.1,4.317,72.96435215,2.86756675,3.1,34,NaN,92.34129794,86.1448715,49.031521,-1.950493427,0,33.2,5.746327451,26.313,1908.265,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,0.3,66.6,1.09,NaN,NaN
FIN,5540718,6.234267477,100,8.5074915,2.05,3.8,46,16.5,20.4,68,0,3368,139.6,0.006311233,62.5,1.77,3701.141127,7.28981427,2.9,85,0.099907011,61.45293997,96.75935668,100,3.154019291,10,26.8,7.620819275,155.215,14450.835,18.136,42.8,21.228,13.264,40585.721,NaN,153.507,5.76,18.3,22.6,3.28,81.91,0.88,17.61,1.62
FJI,896444,7.658563742,39.56,100.5946678,9.23,NaN,NaN,14.3,22.6,41.4,0.76,2943,95.29,4.531728393,63.4,2.541,364.0509182,2.95320811,4.1,NaN,NaN,NaN,NaN,93.699997,1.399055863,2,36.4,6.808111223,2.231,74.74,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,2.3,67.44,NaN,NaN,NaN
FLK,3483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.44,NaN,62.79,NaN
FRA,68147687,11.8693378,100,11.81922211,3.28,8.1,55,27.299999,32.7,94.8,0.01,3482,157.67,0.016624224,62.9,1.979,4508.134566,9.02451437,4.1,72,-0.16548221,45.88092327,94.62188059,99,1.868426729,9,32.3,7.23569039,1429.704,71932.375,122.578,42,19.718,13.079,38605.671,NaN,86.06,4.77,30.1,35.6,5.98,82.66,1.18,13.73,4.58
FRO,48865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.67,NaN,13.59,8.45
FSM,115021,8.667210756,11.97,90.16464758,NaN,NaN,NaN,NaN,NaN,40.7,NaN,NaN,NaN,2.010716858,70.1,3.194,472.6489554,12.43375206,NaN,NaN,NaN,NaN,NaN,NaN,2.577860364,NaN,40.1,NaN,NaN,8.694,150.777,23,4.81,2.392,3299.464,16,454.343,12.02,NaN,NaN,NaN,67.88,NaN,NaN,NaN
GAB,2225728,47.39460459,79.12,72.05364229,6.06,NaN,NaN,10.9,NaN,41.1,2.27,2830,56.23,16.74263406,36.9,3.85,599.264164,2.35058092,NaN,31,NaN,21.23467484,50.36380457,83.237877,0.072854102,3,42.2,5.864793558,53.466,8924.271,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,NaN,NaN,6.3,66.47,1.02,0.11,NaN
