Country,Population,Pollution,PollutionAccess,DeathsPollution,DeathsShare,PM25,OZONE,SmokeDaily,SmokeShare,Drinking,UnsafeWater,Calories,Fat,Sanitation,Overweight,Fertility,HealthExpenditure,HealthShare,Corruption,CorruptionPerception,Trust,TrustShare,TrustMedics,Literacy,HumanRights,PoliticalRegime,GiniIndex,EconomicFreedom,TotalDeaths,TotalCases,PopulationDensity,MedianAge,Aged65,Aged70,GDPpcp,Poverty,Cardiovascular,Diabetes,SmokersFemale,SmokersMale,HospBeds,LifeExpectancy,ReproductionRate,TotalVaccinations,FullVaccinations
MYS,32365998,17.60771452,96.3,50.44055047,6.87,6.7,45,19.1,21.5,12.7,0.2,2916,91.14,0.19914137,41.7,2.056,1040.232793,2.30029002,3.8,47,NaN,75.1715793,94.66840442,94.636993,-0.212651876,5,46.3,6.913130396,40.166,10916.672,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,1.9,76.16,0.98,1.62,0.95
NAM,2540916,25.89244374,42.2,75.60720741,6.06,NaN,NaN,14.6,21.4,39,3.69,2171,62.56,24.50391487,36.6,3.473,869.2953558,5.3571377,NaN,53,NaN,58.01564363,73.43423741,90.820503,1.54286351,6,61,6.413544685,213.309,17713.297,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,NaN,63.71,0.85,0.08,NaN
NER,24206636,203.7438917,1.91,138.467763,8.93,NaN,NaN,5,7.7,5.3,10.73,2547,51.75,73.7557831,19.7,7.29,53.53040204,2.38630659,NaN,34,NaN,67.54100784,75.79805787,19.1026,-0.467373905,6,34,5.965836428,7.766,208.538,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,0.3,62.42,0.95,NaN,NaN
NGA,206139587,122.478442,4.91,81.22147298,7.21,19,53,4,5.8,43.6,7.34,2700,49.52,38.67477173,26,5.591,216.8711705,0.92253513,4.7,27,-0.057804402,45.24078251,82.00328088,59.568081,-2.058687075,7,43,6.36072046,9.984,792.609,209.588,18.1,2.751,1.447,5338.454,NaN,181.013,2.42,0.6,10.8,NaN,54.69,0.77,0.47,NaN
NIC,6624554,22.70884868,52.3,33.43893638,6.51,8.4,41,10.9,NaN,49.3,0.55,2638,63.51,1.617694854,54.8,2.231,444.6184622,5.09579767,NaN,25,0.022988806,39.03023926,69.81148561,82.471848,0.113044035,9,46.6,7.277070764,27.021,1015.465,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,NaN,NaN,0.9,74.48,0.08,NaN,NaN
NLD,17134873,15.23005009,100,18.61250428,4.42,9.6,49,20.799999,25.8,88.2,0.01,3228,129.51,0.014603309,62.6,1.739,5201.696377,9.48113273,NaN,82,0.29805693,57.11289268,91.88775391,99,3.410230213,10,28.6,7.697608946,981.974,77929.495,508.544,43.2,18.779,11.881,48472.545,NaN,109.361,5.29,24.4,27.3,3.32,82.28,0.98,9.85,4.03
NOR,5421242,7.874067599,100,10.88894104,2.79,6,46,16.9,20.2,85.9,0.02,3485,147.96,0.041027543,61.7,1.816,6346.615463,8.3096182,3.1,84,NaN,89.08573629,98.19908716,100,4.003323819,10,26.8,7.57088482,124.879,18473.442,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,3.6,82.4,0.9,13.02,5.25
NPL,29136808,78.49713349,27.62,133.2611111,14.06,NaN,NaN,23.799999,22.8,7.6,4.89,2673,60.77,31.68495862,19.6,2.162,137.3973226,2.33781912,4.5,31,NaN,71.98113305,89.59331565,64.663643,0.261589965,6,32.8,6.527727586,104.198,9557.327,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,0.3,70.78,1.33,NaN,NaN
NZL,4822233,5.525446595,100,8.59875688,2.13,3.9,34,16.799999,16,79.5,0.03,3137,116.41,0.032331096,68,2.002,4018.307819,9.08265634,3.3,87,NaN,75.06291233,95.2239499,99,3.445404703,10,NaN,8.490329773,5.392,524.861,18.206,37.9,15.322,9.72,36085.843,NaN,128.797,8.08,14.8,17.2,2.61,82.29,0.81,1.47,0.4
OMN,5106622,77.9621781,95.22,53.69908926,8.07,NaN,NaN,9.1000004,11.1,5.9,0.1,3143,76.96,0.059782706,56,2.737,1441.967693,3.19022858,NaN,52,NaN,NaN,NaN,93.971649,0.806570325,-8,NaN,6.749671402,338.384,32404.983,14.98,30.7,2.355,1.53,37960.709,NaN,266.342,12.61,0.5,15.6,1.6,77.86,1.41,2.98,0.37
PAK,220892331,75.75074243,43.32,123.2154801,9.04,31,63,15.4,20.1,4,3.52,2440,73.36,20.31549995,26.2,3.55,128.9887247,0.91881147,4.6,33,-0.10337088,57.68036352,85.3721404,56.440311,-1.581048329,7,30.7,5.993016925,68.024,3169.816,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,0.6,67.27,1.23,0.03,NaN
PAN,4314768,14.12599776,89.01,21.31222937,4.5,6.2,39,8.3999996,6.1,59.8,0.52,2733,79.5,1.509974014,58.5,2.541,1676.952285,5.87836609,NaN,37,NaN,30.22555119,73.17278457,95.038231,2.205342238,9,51,7.566113507,1424.41,82718.932,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,2.3,78.51,0.87,6.18,2.8
PER,32971846,26.0545956,75.06,30.14589917,6.75,8.9,41,11,4.8,55.4,0.51,2700,49.75,1.529839452,56.3,2.429,656.1800838,3.31875118,4.5,35,-0.096918501,33.74644658,69.05376139,94.374352,0.740837126,9,44.3,7.439497099,1611.617,48229.298,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NaN,1.6,76.74,1.1,1.77,0.98
PHL,109581085,23.2134941,43.22,106.8724834,9.66,7.8,39,22.9,24.3,44.3,0.83,2570,54.53,1.737738095,26.1,2.958,328.8721384,1.61468522,4.4,36,0.35706308,72.54271245,86.83632338,96.618027,-2.131015039,8,40.1,7.347101298,126.089,7416.973,351.873,25.2,4.803,2.661,7599.188,NaN,370.437,7.07,7.8,40.8,1,71.23,1.17,0.75,0.03
PNG,8947027,13.67788256,13.43,245.296404,11.98,NaN,NaN,37.900002,36.3,34.6,3.14,NaN,NaN,47.36090043,49.3,3.707,109.4883212,3.46554272,4.6,28,NaN,NaN,NaN,63.433491,0.31711269,5,41.8,6.268588715,7.489,827.761,18.22,22.6,3.808,2.142,3823.194,NaN,561.494,17.65,23.5,48.8,NaN,64.5,1.43,0,NaN
POL,37846605,25.59991261,100,34.26669114,6.25,11,55,27.200001,28,51.7,0.02,3451,128.84,0.018686377,62.4,1.308,1570.446469,4.5076396,NaN,60,-0.14705054,55.94255452,88.54560585,99.787422,1.815505193,10,32.1,7.26956524,1454.952,64912.269,124.027,41.8,16.763,10.202,27216.445,NaN,227.331,5.91,23.3,33.1,6.62,78.73,0.99,12.13,5.48
PRT,10196707,9.491198111,100,15.49125211,3.8,4.9,54,21.6,22.7,57,0.01,3477,145.12,0.069761836,62.3,1.254,2689.942336,6.15818911,4.6,64,0.082586966,48.70432302,88.59748158,95.428108,1.939209809,10,35.6,7.496775811,1656.123,80846.493,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,3.39,82.05,0.8,13.31,5.71
PRY,7132530,23.69305414,66.22,41.98531211,6.46,5.6,44,11.7,13.4,61.9,0.31,2589,91.85,0.835868823,50.9,2.509,872.9283649,4.50224038,4.7,29,NaN,49.85533886,74.58323534,95.53611,0.696920668,9,48,6.93248077,633.997,31508.595,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,1.3,74.25,0.96,0.61,0.03
PSE,5101416,18.901415,NaN,52.55643163,7.78,NaN,NaN,20.799999,NaN,NaN,0.18,NaN,NaN,0.172013342,NaN,4.075,NaN,NaN,3.9,NaN,NaN,50.57273003,74.57781228,96.668037,NaN,NaN,34.4,NaN,536.126,50272.513,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,NaN,NaN,NaN,74.05,1.2,1.8,0.22
QAT,2881060,148.2413983,98.49,61.79388295,9.2,55,65,18.1,20.6,6.7,0.04,NaN,NaN,0.02895057,70.3,1.929,3071.187757,1.87539141,NaN,62,NaN,NaN,NaN,97.757088,1.671422665,-10,NaN,7.467956558,108.293,64303.069,227.322,31.9,1.307,0.617,116935.6,NaN,176.69,16.52,0.8,26.9,1.2,80.23,1.26,3.47,NaN
ROU,19237682,19.06441498,85.88,40.41600613,5.79,9.1,50,26.4,29.7,67.6,0.02,3358,122.84,0.150269236,61.4,1.512,1079.258332,4.47447755,4.5,47,-0.21704744,22.58985207,71.46128208,98.757027,0.936675539,9,27.5,7.698155057,1267.616,51108.912,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,6.892,76.05,1.02,11.08,6.38
RUS,145934460,15.5005356,98.25,42.73102728,5.42,13,50,31.9,39.3,67.8,0.01,3361,109.93,0.085110559,61.1,1.741,1835.713278,3.69092281,4.7,28,-0.15077487,53.1311915,71.9198474,99.719566,-1.232211867,4,37.7,6.823958472,681.34,31153.074,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,8.05,72.58,0.97,5.31,3.24
RWA,12952209,52.79013012,0.57,97.08200324,8.1,NaN,NaN,7.5999999,12.3,44.7,4.63,2228,27.49,31.47616321,22,3.967,125.0654332,2.86940115,2,56,-0.12548469,95.89997462,93.94594085,71.2435,-0.670644255,-3,50.4,7.483949815,24.243,1765.104,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,NaN,69.02,1.45,2.69,NaN
SAU,34813867,187.8713608,95.96,64.07581883,9.23,30,62,15,15.6,5.8,0.1,3255,103.12,0.12807376,69,2.579,2465.976768,3.49078974,NaN,49,0.30015314,NaN,83.9904799,94.842369,-0.995758828,-10,NaN,6.516357351,192.768,11322.184,15.322,31.9,3.295,1.845,49045.411,NaN,259.538,17.72,1.8,25.4,2.7,75.13,1.25,NaN,NaN
SDN,43849269,77.72107205,41.29,95.70386242,8.65,15,51,5.5999999,NaN,11.1,3.18,2336,68.16,11.46229305,NaN,4.595,281.6404994,1.80236186,2.6,16,NaN,NaN,NaN,58.601318,-2.470596454,-2,35.4,5.36,47.048,725.964,23.258,19.7,3.548,2.034,4466.507,NaN,431.388,15.67,NaN,NaN,0.8,65.31,0.76,0.15,NaN
SEN,16743930,56.76633608,31.65,106.0552118,8.99,15,44,7,8.2,5.5,6.46,2456,73.65,41.9938134,24.9,4.84,106.9355043,2.41795607,4.5,45,NaN,54.95457211,81.37772396,55.624851,0.796011622,7,40.3,6.199727938,63.605,2336.787,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,NaN,67.94,0.79,1.84,NaN
SGP,5850343,25.02850236,100,19.98012765,6.64,12,50,13.1,16.5,49.9,0.01,NaN,NaN,0.006999909,33.6,1.242,4046.975288,2.05468332,NaN,85,NaN,73.57871558,94.70833494,96.774628,1.700365887,-2,NaN,8.820735091,5.128,10344.522,7915.731,42.4,12.922,7.049,85535.383,NaN,92.243,10.99,5.2,28.3,2.4,83.62,1.11,17.95,8
SHN,6071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.56,NaN,51.18,NaN
SLB,686878,8.515828391,8.45,187.2542829,13.48,NaN,NaN,26.799999,NaN,32.2,0.89,2391,50.96,9.565632589,51.3,3.907,107.6097732,4.64048232,4,44,NaN,NaN,NaN,84.099998,3.757369267,8,37,NaN,NaN,27.661,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,NaN,NaN,1.4,73,NaN,0.29,NaN
SLE,7976985,42.13067105,0.99,149.5983372,8.57,9.2,45,17.6,24.8,44.7,5.67,2404,53.64,58.13810901,24.9,4.561,223.7444518,1.88380186,4.1,30,NaN,63.84384659,71.72315854,48.4319,0.540344793,7,34,5.744552987,9.903,500.189,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,NaN,54.7,0.9,0.4,NaN
SLV,6486201,33.38600558,86,45.89819872,6.39,13,46,9.1999998,9.9,44,0.49,2577,64.24,2.463933328,56.8,2.101,564.885461,4.46950833,4.3,35,NaN,35.31609361,75.46951149,87.648216,0.246425049,8,40.8,7.133397009,312.972,10096.974,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,1.3,73.32,1.09,2.06,NaN
SMR,33938,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3390.14778,5.73605882,NaN,NaN,NaN,NaN,NaN,96,4.269659599,NaN,NaN,NaN,2504.567,143320.172,556.667,NaN,NaN,NaN,56861.47,NaN,NaN,5.64,NaN,NaN,3.8,84.97,0.89,26.02,13.69
SOM,15893219,23.88828751,2.34,165.8285822,8.48,NaN,NaN,9.6000004,NaN,5.4,6.06,NaN,NaN,57.61664096,24.7,6.365,NaN,NaN,NaN,10,NaN,NaN,NaN,37.799999,-1.739184553,5,NaN,NaN,36.242,753.655,23.5,16.8,2.731,1.496,NaN,NaN,365.769,6.05,NaN,NaN,0.9,57.4,1.04,NaN,NaN
SRB,6804596,18.84678891,76.41,62.57853348,8.01,NaN,NaN,26.5,38.9,66,0.02,2728,83.91,0.048162143,60.7,NaN,1312.223068,6.4165056,4.7,39,-0.16020425,51.43361989,80.90404643,98.002892,NaN,8,29.1,6.855902529,813.715,91963.285,80.291,41.2,17.366,NaN,14048.881,NaN,439.415,10.08,37.7,40.2,5.609,76,1.04,22.11,16.47
SSD,11193729,48.70312381,0.64,156.1654699,9.33,15,50,NaN,NaN,NaN,9.86,NaN,NaN,92.72071191,NaN,4.938,72.82214895,1.1369163,3,13,NaN,NaN,NaN,31.97625,-2.592480777,0,46.3,NaN,10.095,918.907,NaN,19.2,3.441,2.032,1569.888,NaN,280.775,10.43,NaN,NaN,NaN,57.85,0.75,NaN,NaN
STP,219161,15.42765659,16.81,110.0812449,10.01,NaN,NaN,3.3,NaN,38.1,1.24,2400,74.5,6.008316382,31.6,4.518,299.7295588,3.61225473,NaN,46,NaN,NaN,NaN,91.747108,3.331958707,NaN,30.8,NaN,159.7,10257.299,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,NaN,NaN,2.9,70.39,0.68,4.44,NaN
SUR,586634,21.53247349,89.61,48.71442865,6.25,NaN,NaN,6.0999999,25,51.9,0.68,2753,77.08,2.025769844,59,2.396,978.6288807,2.94062408,NaN,43,0.11636458,NaN,NaN,95.538986,1.194181517,5,57.6,6.381872508,303.426,15655.417,3.612,29.6,6.933,4.229,13767.119,NaN,258.314,12.54,7.4,42.9,3.1,71.68,1.49,4.73,NaN
SVK,5459643,20.33090746,96.58,35.36190177,5.96,13,59,22.4,30.1,65.8,0.01,2944,158.73,0.013008356,59.7,1.427,2179.051004,5.8395992,4.2,50,NaN,48.96845244,86.78204062,99.599998,1.812497515,10,26.1,7.308716412,1848.839,66988.446,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.81,13.9,4.83
SVN,2078932,17.82350883,96.17,19.72328919,4.6,11,60,22.200001,22.5,67.6,0.01,3168,120.49,0.007360072,60.7,1.614,2697.671071,6.62382179,4.2,60,NaN,30.35193868,92.20188573,99.71476,3.157118616,10,25.7,7.044029738,1966.875,106159.316,102.619,44.5,19.062,12.93,31400.84,NaN,153.493,7.25,20.1,25,4.5,81.32,1.12,13.81,5.73
SWE,10099270,5.195282483,100,9.39530308,2.45,4.3,47,13.6,18.8,68.8,0.02,3179,135,0.048541701,59.9,1.907,5218.860734,10.0246943,NaN,85,0.30693087,65.63389544,95.91901719,99,2.83679292,10,27.2,7.431505399,1339.998,82678.55,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,2.22,82.8,1.12,12.59,5.35
SWZ,1160164,24.15181545,49.7,106.341769,5.6,NaN,NaN,7.3000002,9,43.9,4.34,2329,43.45,41.9603245,33,3.141,586.8228703,7.00490949,NaN,38,NaN,65.06173663,84.50210799,87.470192,0.559096043,-9,51.5,6.470780954,576.643,14961.678,79.492,21.5,3.163,1.845,7738.975,NaN,333.436,3.94,1.7,16.5,2.1,60.19,0.67,NaN,NaN
SYC,98340,14.8388501,90.36,42.32630252,5.43,NaN,NaN,15.7,21.5,44.2,0.21,NaN,NaN,0.531851006,38.1,2.333,844.3370884,3.10724273,NaN,66,NaN,NaN,NaN,95.321083,1.479227588,NaN,46.8,7.234818257,244.051,43929.225,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,3.6,73.4,0.94,65.21,38.6
SYR,17500657,NaN,NaN,64.22641351,6.65,NaN,NaN,17.1,NaN,7.5,0.02,NaN,NaN,0.074886818,57.9,2.966,375.8753369,1.50716579,NaN,13,NaN,NaN,NaN,86.303932,-2.558582937,-9,35.8,5.034062658,76.111,1122.301,NaN,21.7,NaN,2.577,NaN,NaN,376.264,NaN,NaN,NaN,1.5,72.7,0.98,NaN,NaN
TCA,38718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,37.312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.22,NaN,33.41,NaN
TCD,16425859,95.6736091,3.13,159.147411,9.77,15,53,7,NaN,13.1,14.45,2110,57.1,101.5534839,19.5,6.05,79.01538673,1.97895016,NaN,19,NaN,45.42210117,51.87274218,40.018242,-0.515494095,-2,43.3,5.456090431,10.106,280.229,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,NaN,NaN,NaN,54.24,0.86,NaN,NaN
TGO,8278737,84.14439034,6.71,115.2294338,7.53,NaN,NaN,6.1999998,7.4,62.8,5.35,2454,56.06,40.64353608,25,4.517,76.25300946,2.01732113,NaN,30,NaN,17.61994646,53.95673382,66.53759,0.409906965,-2,43,5.784202354,13.649,1366.15,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,0.7,61.04,1.18,0.51,NaN
THA,69799978,23.1725896,74.43,32.81342263,6.55,14,40,19.700001,19.9,29.7,0.73,2784,64.22,0.229088476,34.7,1.498,599.8436663,3.20842519,4.1,36,0.34843981,81.60090625,96.85158348,93.983017,-1.209087232,-3,37.8,6.821824859,1.361,423.653,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,2.1,77.15,1.09,0.39,0.07
TJK,9537642,61.35430442,80.41,94.29643743,11.08,NaN,NaN,15.7,NaN,9.3,2.37,2201,57.48,8.758490024,41.7,3.404,185.1475355,1.98376501,NaN,25,NaN,NaN,94.31650578,99.781052,-0.688976106,-3,34,6.716732564,9.436,1395.313,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,NaN,NaN,4.8,71.1,0,NaN,NaN
TLS,1318442,17.0005339,6.92,97.66245516,10.44,NaN,NaN,30,42.6,7.1,1.88,2131,44.98,12.42662196,17.9,5.618,101.5353661,1.33363109,NaN,35,NaN,NaN,NaN,64.066139,1.086268597,8,30.3,6.561040228,0.758,590.849,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,5.9,69.5,1.28,NaN,NaN
TTO,1399491,16.81227296,99.26,51.80870491,7.94,11,41,17.6,NaN,51.1,0.16,3052,88.93,0.432085606,48.1,1.766,1815.654905,3.17462752,NaN,41,NaN,NaN,NaN,98.969582,0.90690385,10,40.3,6.741669083,103.609,5869.277,266.886,36.2,10.014,5.819,28763.071,NaN,228.467,10.97,NaN,NaN,3,73.51,1.51,0.07,NaN
TUN,11818618,35.56567907,99.1,51.6134135,8.68,NaN,NaN,24.5,32.7,5.7,0.11,3349,98.33,0.277900053,62.2,2.223,785.3174908,3.96881649,4.4,43,NaN,42.41596867,82.73050317,81.054192,0.101200869,7,35.8,6.276433717,764.81,22256.663,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,2.3,76.7,1.34,0.89,NaN
TUR,84339067,37.25391764,NaN,46.77557879,9.94,27,59,26.5,27.2,13.8,0.08,3706,126.04,0.11500886,66.9,2.072,1036.465294,4.19377897,4,41,0.12911025,56.5824679,84.57229963,95.688103,-1.62047259,3,41.2,6.821242893,387.329,42438.044,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,2.81,77.69,1.33,11.96,8.63
TWN,23816775,NaN,NaN,32.74411356,7.08,15,67,17.4,NaN,NaN,0.02,2997,128.56,0.03387049,NaN,1.158,NaN,NaN,3.9,63,NaN,34.92992873,92.83618368,96.099998,2.702207569,10,NaN,7.883663307,0.42,44.087,NaN,42.2,NaN,8.353,NaN,NaN,103.957,NaN,NaN,NaN,NaN,80.46,1.13,0.08,NaN
TZA,59734213,22.34930727,2.16,96.53732288,7.9,NaN,NaN,9.3000002,14.8,41.9,3.61,2208,53.75,30.74987946,24.5,5.079,137.4930709,2.58995871,4.4,36,-0.14714427,87.61743955,88.91271245,80.359497,-0.255901211,3,37.8,6.930080248,0.352,8.521,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,0.7,65.46,0,NaN,NaN
UGA,45741000,73.51172275,0.77,93.71754319,5.85,21,48,7.8000002,10,41.3,4.15,2130,44.67,36.96601326,19,5.682,132.5879879,1.80125132,4.5,26,-0.70643896,55.48746856,79.61740512,73.809837,-0.351118825,-1,41,7.43850886,7.324,896.854,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,0.5,63.37,1.29,0.28,NaN
UKR,43733759,19.20606229,95.73,63.88562435,7.27,9.2,53,26.5,28.9,68.3,0.01,3138,79.45,0.079605809,61.9,1.528,584.2359973,3.60452112,4.6,32,-0.092386983,10.94897182,69.82589055,99.764107,-1.219281904,4,25.5,5.969297672,838.986,41632.026,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,8.8,72.06,1.14,0.73,0
URY,3473727,11.52339849,97.97,20.4019747,3.56,5.4,41,22.200001,16.8,58.7,0.15,3050,109.73,0.117333258,64.5,2.007,1792.180973,6.11148431,3.8,70,NaN,44.51229883,88.86733454,98.442101,2.782269859,10,41.7,7.150333043,342.859,35426.791,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,2.8,77.91,1.26,21.58,3.37
USA,331002647,9.196934123,100,18.82514567,3.76,6.1,59,15.3,21.8,68.9,0.01,3682,167.21,0.104786257,70.2,1.868,9402.536971,8.27851771,4,71,0.15036696,47.42665101,93.41232021,99,0.235332781,10,41,8.040992466,1681.394,93193.66,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,2.77,78.86,1.05,32.38,18.84
UZB,33469199,46.6910757,92.1,105.0869242,9.67,NaN,NaN,11.2,12.6,37.2,0.05,2760,83.19,0.405249557,45.7,2.313,339.6062029,3.11124825,NaN,23,NaN,99.21937623,94.74364512,99.995193,-0.588449175,-9,35.3,NaN,18.883,2507.828,76.134,28.2,4.469,2.873,6253.104,NaN,724.417,7.57,1.3,24.7,4,71.72,1.29,NaN,NaN
VAT,809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,-9,NaN,NaN,NaN,33374.536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.12,NaN,NaN,NaN
VCT,110947,17.37431954,95.98,48.67290216,6.61,NaN,NaN,9,NaN,55.9,0.29,2968,79.71,1.19594538,55,1.953,916.5527473,4.38522311,NaN,58,NaN,NaN,NaN,95.632156,1.94245495,NaN,NaN,NaN,90.133,15908.497,281.787,31.8,7.724,4.832,10727.146,NaN,252.675,11.62,NaN,NaN,2.6,72.53,0.96,NaN,NaN
VEN,28435943,26.33118091,96.16,34.74692209,5.33,6.6,46,16.6,NaN,59.1,0.39,2631,64.84,0.788253185,62.6,2.341,922.9886743,1.54276595,4.6,18,0.1149914,35.70427041,72.3079164,95.399246,-1.434521081,4,46.9,2.88085998,59.537,5945.785,36.253,29,6.614,3.915,16745.022,NaN,204.85,6.47,NaN,NaN,0.8,72.06,1.33,0.34,NaN
VNM,97338583,26.28590641,66.92,60.3175333,8.28,11,45,20.700001,22.8,38.3,0.26,2745,78.46,1.045362101,18.3,1.958,390.4974304,3.82001911,3.7,33,0.14363137,NaN,83.09534503,94.514267,-0.373983921,-7,34.8,6.416821979,0.36,27.204,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,2.6,75.4,1.24,0.05,NaN
VUT,307150,8.848735261,12.57,139.6507287,9.99,NaN,NaN,16.299999,18.6,31.8,1.25,2836,98.31,13.51225208,54.1,3.312,150.361644,4.51074955,4.4,46,NaN,NaN,NaN,85.058678,2.312695773,NaN,37.3,NaN,NaN,9.767,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,NaN,70.47,NaN,NaN,NaN
WSM,198410,3.857072798,32.29,76.83415608,8.79,3.5,26,22.4,27.7,45.3,0.29,2960,139.18,0.40858548,75.1,4.029,417.8138856,6.53686898,NaN,NaN,NaN,NaN,NaN,99.015007,2.560865976,NaN,42,NaN,NaN,15.12,69.413,22,5.606,3.564,6021.557,NaN,348.977,9.21,16.7,38.1,NaN,73.32,NaN,NaN,NaN
YEM,29825968,72.55386478,64.93,96.50135105,7.5,16,51,14.3,18.4,4.1,3.89,2223,38.98,10.5055763,42.3,4.104,202.1649506,1.27187099,3.1,14,NaN,35.10736215,66.58697659,69.961952,-2.108345997,0,36.7,6.37069288,32.723,166.801,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,0.7,66.12,1.29,NaN,NaN
ZAF,59308690,35.91247747,84.75,57.85389002,4.96,20,49,14.9,20.3,40.6,2.04,3022,81.95,14.13730846,51.9,2.485,1148.372498,4.24326873,4.4,43,-0.16691782,42.21310176,76.62537872,94.597939,-1.061342789,9,63.4,6.658054541,894.169,26182.554,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,2.32,64.13,0.79,0.46,0.46
ZMB,18383956,30.55029496,16.43,98.86996278,6,NaN,NaN,11.4,13.8,30.6,5.3,1930,44.68,47.61148505,23.9,5.041,194.6845109,2.76009455,4.6,35,NaN,56.70300313,82.52105957,85.117264,-0.043186178,7,57.1,6.603235047,66.58,4845.04,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,2,63.89,0.75,NaN,NaN
ZWE,14862927,24.51303497,29.05,125.0288426,7.67,9,52,11.3,15.8,39,3.23,2110,57.04,25.50090808,32.4,3.836,114.6085066,2.37379078,4.7,22,-0.5091331,52.91058264,81.0441196,86.873482,-0.74135666,4,43.2,6.07711626,103.008,2487.128,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,1.7,61.49,0.76,0.94,0.16